datetime,nav,price
2011-10-14,1,
2011-10-20,0.999,
2011-10-21,0.999,0.99
2011-10-24,0.999,0.99
2011-10-25,1.001,0.99
2011-10-26,1.003,0.99
2011-10-27,1.002,1
2011-10-28,1.009,1
2011-10-31,1.011,1
2011-11-01,1.01,1
2011-11-02,1.027,1
2011-11-03,1.03,1.03
2011-11-04,1.035,1.03
2011-11-07,1.031,1.04
2011-11-08,1.019,1.04
2011-11-09,1.034,1.04
2011-11-10,1.019,1.02
2011-11-11,1.018,1.03
2011-11-14,1.041,1.07
2011-11-15,1.048,1.06
2011-11-16,1.022,
2011-11-17,1.019,1.02
2011-11-18,0.992,1.01
2011-11-21,0.994,1.01
2011-11-22,0.993,
2011-11-23,0.985,1.02
2011-11-24,0.985,
2011-11-25,0.977,
2011-11-28,0.975,
2011-11-29,0.989,1.01
2011-11-30,0.951,1.01
2011-12-01,0.973,1.02
2011-12-02,0.958,0.96
2011-12-05,0.933,0.94
2011-12-06,0.933,0.96
2011-12-07,0.934,0.96
2011-12-08,0.935,0.96
2011-12-09,0.927,0.96
2011-12-12,0.917,
2011-12-13,0.888,
2011-12-14,0.873,
2011-12-15,0.851,0.96
2011-12-16,0.877,
2011-12-19,0.877,
2011-12-20,0.875,
2011-12-21,0.855,
2011-12-22,0.846,
2011-12-23,0.854,
2011-12-26,0.851,
2011-12-27,0.832,
2011-12-28,0.834,
2011-12-29,0.834,
2011-12-30,0.849,
2011-12-31,0.849,
2012-01-03,0.849,
2012-01-04,0.83,
2012-01-05,0.802,
2012-01-06,0.808,
2012-01-09,0.84,0.92
2012-01-10,0.871,0.9
2012-01-11,0.87,0.91
2012-01-12,0.871,0.9
2012-01-13,0.845,0.92
2012-01-16,0.818,0.92
2012-01-17,0.862,0.92
2012-01-18,0.846,0.9
2012-01-19,0.857,0.94
2012-01-20,0.869,0.97
2012-01-30,0.861,0.88
2012-01-31,0.864,0.95
2012-02-01,0.856,0.96
2012-02-02,0.871,0.95
2012-02-03,0.885,0.95
2012-02-06,0.891,0.94
2012-02-07,0.878,0.94
2012-02-08,0.9,0.94
2012-02-09,0.907,0.92
2012-02-10,0.912,0.95
2012-02-13,0.919,0.91
2012-02-14,0.921,0.94
2012-02-15,0.933,0.94
2012-02-16,0.931,0.94
2012-02-17,0.929,0.94
2012-02-20,0.933,0.98
2012-02-21,0.944,0.96
2012-02-22,0.964,0.96
2012-02-23,0.966,0.97
2012-02-24,0.978,0.98
2012-02-27,0.98,0.98
2012-02-28,0.977,0.96
2012-02-29,0.965,1
2012-03-01,0.97,1
2012-03-02,0.992,1.02
2012-03-05,0.996,1.01
2012-03-06,0.989,1.03
2012-03-07,0.981,1.03
2012-03-08,0.996,1.02
2012-03-09,1.013,1.02
2012-03-12,1.017,1.03
2012-03-13,1.023,1.03
2012-03-14,0.981,1
2012-03-15,0.971,1.01
2012-03-16,0.995,1.01
2012-03-19,1.004,1.01
2012-03-20,0.984,
2012-03-21,0.987,1
2012-03-22,0.982,1.02
2012-03-23,0.963,1.02
2012-03-26,0.962,1.03
2012-03-27,0.96,1.03
2012-03-28,0.919,0.95
2012-03-29,0.907,
2012-03-30,0.906,0.96
2012-04-05,0.937,1
2012-04-06,0.944,
2012-04-09,0.934,
2012-04-10,0.946,1
2012-04-11,0.948,1.02
2012-04-12,0.967,0.97
2012-04-13,0.976,
2012-04-16,0.98,0.99
2012-04-17,0.965,0.99
2012-04-18,0.984,
2012-04-19,0.981,1
2012-04-20,0.988,0.98
2012-04-23,0.975,0.96
2012-04-24,0.97,0.99
2012-04-25,0.983,0.97
2012-04-26,0.979,0.96
2012-04-27,0.972,0.97
2012-05-02,0.99,1.02
2012-05-03,0.994,1
2012-05-04,1.003,
2012-05-07,1.009,1
2012-05-08,1.007,0.99
2012-05-09,0.987,
2012-05-10,0.992,1.04
2012-05-11,0.986,1.02
2012-05-14,0.981,1.02
2012-05-15,0.983,
2012-05-16,0.971,
2012-05-17,0.987,1.02
2012-05-18,0.971,1.03
2012-05-21,0.971,1.03
2012-05-22,0.987,1.03
2012-05-23,0.986,1.03
2012-05-24,0.98,
2012-05-25,0.966,0.95
2012-05-28,0.978,0.97
2012-05-29,0.993,1.02
2012-05-30,0.993,
2012-05-31,0.994,
2012-06-01,0.993,0.98
2012-06-04,0.962,0.95
2012-06-05,0.959,1.02
2012-06-06,0.955,0.98
2012-06-07,0.949,0.98
2012-06-08,0.946,0.94
2012-06-11,0.963,0.99
2012-06-12,0.957,0.99
2012-06-13,0.976,0.99
2012-06-14,0.972,0.99
2012-06-15,0.97,0.98
2012-06-18,0.979,0.97
2012-06-19,0.971,
2012-06-20,0.968,1
2012-06-21,0.955,0.901
2012-06-25,0.933,0.99
2012-06-26,0.931,0.97
2012-06-27,0.929,0.97
2012-06-28,0.919,0.96
2012-06-29,0.931,
2012-06-30,0.931,0.99
2012-07-02,0.94,0.97
2012-07-03,0.945,0.96
2012-07-04,0.942,0.96
2012-07-05,0.923,0.93
2012-07-06,0.943,1
2012-07-09,0.921,1
2012-07-10,0.915,0.96
2012-07-11,0.923,
2012-07-12,0.936,0.92
2012-07-13,0.93,0.92
2012-07-16,0.901,
2012-07-17,0.908,
2012-07-18,0.914,0.96
2012-07-19,0.924,0.91
2012-07-20,0.917,0.95
2012-07-23,0.908,0.9
2012-07-24,0.914,0.98
2012-07-25,0.905,0.95
2012-07-26,0.898,0.95
2012-07-27,0.894,0.97
2012-07-30,0.876,0.94
2012-07-31,0.863,0.91
2012-08-01,0.877,0.93
2012-08-02,0.872,0.94
2012-08-03,0.889,0.94
2012-08-06,0.907,0.94
2012-08-07,0.915,0.94
2012-08-08,0.912,
2012-08-09,0.924,0.91
2012-08-10,0.922,0.91
2012-08-13,0.903,
2012-08-14,0.911,0.892
2012-08-15,0.901,0.89
2012-08-16,0.894,0.89
2012-08-17,0.896,0.9
2012-08-20,0.897,0.9
2012-08-21,0.911,0.91
2012-08-22,0.902,0.91
2012-08-23,0.908,0.9
2012-08-24,0.892,0.94
2012-08-27,0.874,0.89
2012-08-28,0.88,0.85
2012-08-29,0.875,0.91
2012-08-30,0.862,
2012-08-31,0.865,
2012-09-03,0.881,
2012-09-04,0.871,0.95
2012-09-05,0.877,0.94
2012-09-06,0.888,0.94
2012-09-07,0.917,0.91
2012-09-10,0.923,0.97
2012-09-11,0.922,0.97
2012-09-12,0.929,0.909
2012-09-13,0.919,0.96
2012-09-14,0.92,0.94
2012-09-17,0.896,
2012-09-18,0.893,0.96
2012-09-19,0.901,0.94
2012-09-20,0.876,0.86
2012-09-21,0.87,
2012-09-24,0.876,0.94
2012-09-25,0.869,0.95
2012-09-26,0.85,0.95
2012-09-27,0.868,0.94
2012-09-28,0.884,0.94
2012-10-08,0.881,0.95
2012-10-09,0.904,
2012-10-10,0.911,0.97
2012-10-11,0.897,0.9
2012-10-12,0.896,0.9
2012-10-15,0.893,
