datetime,nav
2017-03-03,1
2017-03-10,0.9898
2017-03-17,0.9935
2017-03-20,0.9955
2017-03-21,0.9994
2017-03-22,0.9982
2017-03-23,0.9986
2017-03-24,1.0042
2017-03-27,1.0011
2017-03-28,0.9979
2017-03-29,0.9965
2017-03-30,0.9823
2017-03-31,0.9875
2017-04-05,1.0071
2017-04-06,1.0122
2017-04-07,1.0184
2017-04-10,1.0203
2017-04-11,1.0306
2017-04-12,1.0246
2017-04-13,1.0316
2017-04-14,1.0196
2017-04-17,1.0089
2017-04-18,1.0039
2017-04-19,0.9964
2017-04-20,0.9977
2017-04-21,0.9905
2017-04-24,0.9687
2017-04-25,0.9742
2017-04-26,0.9792
2017-04-27,0.982
2017-04-28,0.9861
2017-05-02,0.9882
2017-05-03,0.9817
2017-05-04,0.9793
2017-05-05,0.9689
2017-05-08,0.952
2017-05-09,0.9569
2017-05-10,0.9396
2017-05-11,0.9411
2017-05-12,0.9419
2017-05-15,0.949
2017-05-16,0.9665
2017-05-17,0.9685
2017-05-19,0.9636
2017-05-22,0.9518
2017-05-23,0.9371
2017-05-24,0.9436
2017-05-25,0.9543
2017-05-26,0.9542
2017-05-31,0.9536
2017-06-01,0.9407
2017-06-02,0.9512
2017-06-05,0.9557
2017-06-06,0.9594
2017-06-07,0.9763
2017-06-08,0.9775
2017-06-09,0.978
2017-06-12,0.9677
2017-06-13,0.9778
2017-06-14,0.9749
2017-06-15,0.9828
2017-06-16,0.9788
2017-06-19,0.9857
2017-06-20,0.9859
2017-06-21,0.9891
2017-06-22,0.9779
2017-06-23,0.9792
2017-06-26,0.9945
2017-06-27,0.9956
2017-06-28,0.9932
2017-06-29,0.9968
2017-06-30,0.9989
2017-07-03,1.0054
2017-07-04,1.0026
2017-07-05,1.0106
2017-07-06,1.0099
2017-07-07,1.0139
2017-07-10,1.0134
2017-07-11,1.0044
2017-07-12,1.0012
2017-07-13,1.005
2017-07-14,1.0032
2017-07-17,0.9651
2017-07-18,0.9738
2017-07-19,0.9916
2017-07-20,0.9958
2017-07-21,0.9984
2017-07-24,1.0065
2017-07-25,1.0032
2017-07-26,1.0033
2017-07-27,1.0108
2017-07-28,1.0127
2017-07-31,1.0241
2017-08-01,1.0236
2017-08-02,1.015
2017-08-03,1.0189
2017-08-04,1.0175
2017-08-07,1.0266
2017-08-09,1.0316
2017-08-10,1.0224
2017-08-11,1.0029
2017-08-14,1.0184
2017-08-15,1.0211
2017-08-16,1.0252
2017-08-17,1.0322
2017-08-18,1.0294
2017-08-21,1.0373
2017-08-22,1.0314
2017-08-23,1.0245
2017-08-24,1.0174
2017-08-25,1.0287
2017-08-28,1.0386
2017-08-29,1.035
2017-08-30,1.0416
2017-08-31,1.043
2017-09-01,1.0511
2017-09-04,1.0561
2017-09-05,1.0561
2017-09-06,1.0603
2017-09-07,1.0556
2017-09-08,1.0556
2017-09-11,1.0641
2017-09-12,1.0658
2017-09-13,1.074
2017-09-14,1.0724
2017-09-15,1.0708
2017-09-18,1.0759
2017-09-19,1.074
2017-09-20,1.0819
2017-09-21,1.0724
2017-09-22,1.0699
2017-09-25,1.0603
2017-09-26,1.0629
2017-09-27,1.0715
2017-09-28,1.0694
2017-09-29,1.0776
2017-10-09,1.09
2017-10-10,1.0957
2017-10-11,1.0911
2017-10-12,1.0907
2017-10-13,1.095
2017-10-16,1.0796
2017-10-17,1.0811
2017-10-18,1.0751
2017-10-19,1.065
2017-10-20,1.0735
2017-10-23,1.0787
2017-10-24,1.0762
2017-10-25,1.0812
2017-10-26,1.0856
2017-10-27,1.079
2017-10-30,1.0618
2017-10-31,1.0702
2017-11-01,1.0677
2017-11-02,1.0581
2017-11-03,1.0499
2017-11-06,1.066
2017-11-07,1.0715
2017-11-08,1.0709
2017-11-09,1.0788
2017-11-10,1.0819
2017-11-13,1.0849
2017-11-14,1.0758
2017-11-15,1.0702
2017-11-16,1.0721
2017-11-17,1.0433
2017-11-20,1.0547
2017-11-22,1.0568
2017-11-23,1.0308
2017-11-24,1.0331
2017-11-27,1.022
2017-11-28,1.0368
2017-11-29,1.0395
2017-11-30,1.0306
2017-12-01,1.0388
2017-12-04,1.0334
2017-12-05,1.0121
2017-12-06,1.0189
2017-12-07,1.0134
2017-12-08,1.0205
2017-12-11,1.0304
2017-12-12,1.0208
2017-12-13,1.0289
2017-12-14,1.0325
2017-12-15,1.0301
2017-12-18,1.0267
2017-12-19,1.0351
2017-12-20,1.0285
2017-12-21,1.0317
2017-12-22,1.0329
2017-12-25,1.0237
2017-12-26,1.0302
2017-12-27,1.0226
2017-12-28,1.0246
2017-12-29,1.0339
2017-12-31,1.0336
2018-01-02,1.045
2018-01-03,1.0516
2018-01-04,1.0553
2018-01-05,1.0597
2018-01-08,1.0615
2018-01-09,1.061
2018-01-10,1.0563
2018-01-11,1.0616
2018-01-12,1.0579
2018-01-15,1.0401
2018-01-16,1.0501
2018-01-17,1.0444
2018-01-18,1.0452
2018-01-19,1.0436
2018-01-22,1.0532
2018-01-23,1.0537
2018-01-24,1.0591
2018-01-25,1.0576
2018-01-26,1.0572
2018-01-29,1.0437
2018-01-30,1.045
2018-01-31,1.0276
2018-02-01,0.9956
2018-02-02,0.9952
2018-02-05,0.9956
2018-02-06,0.9517
2018-02-07,0.9539
2018-02-08,0.9637
2018-02-09,0.9337
2018-02-12,0.954
2018-02-13,0.9587
2018-02-14,0.9587
2018-02-22,0.9742
2018-02-23,0.9769
2018-02-26,0.9963
2018-02-27,0.9927
2018-02-28,0.9949
2018-03-01,1.0043
2018-03-02,1.0018
2018-03-05,1.0031
2018-03-06,1.0148
2018-03-07,1.0074
2018-03-08,1.0149
2018-03-09,1.0273
2018-03-12,1.0392
2018-03-13,1.0343
2018-03-14,1.0243
2018-03-15,1.0194
2018-03-16,1.017
2018-03-19,1.0168
2018-03-20,1.021
2018-03-21,1.0143
2018-03-22,1.0116
2018-03-23,0.9649
2018-03-26,0.9809
2018-03-27,0.9987
2018-03-28,0.9883
2018-03-29,0.9985
2018-03-30,1.0098
2018-04-02,1.013
2018-04-03,1.0053
2018-04-04,0.9988
2018-04-09,0.9978
2018-04-10,1.0037
2018-04-11,1.009
2018-04-12,1.0044
2018-04-13,1.0001
2018-04-16,0.9969
2018-04-17,0.9786
2018-04-18,0.9894
2018-04-19,0.9919
2018-04-20,0.9726
2018-04-23,0.9643
2018-04-24,0.9814
2018-04-25,0.9832
2018-04-26,0.966
2018-04-27,0.9685
2018-05-02,0.9656
2018-05-03,0.9718
2018-05-04,0.9721
2018-05-07,0.9898
2018-05-08,0.9946
2018-05-09,0.9921
2018-05-10,0.9945
2018-05-11,0.9869
2018-05-14,0.9849
2018-05-15,0.9922
2018-05-16,0.9911
2018-05-17,0.989
2018-05-18,0.9941
2018-05-21,1.0059
2018-05-22,1.0096
2018-05-23,0.9981
2018-05-24,0.9941
2018-05-25,0.9872
2018-05-28,0.9888
2018-05-29,0.9772
2018-05-30,0.9548
2018-05-31,0.9697
2018-06-01,0.9567
2018-06-04,0.957
2018-06-05,0.9704
2018-06-06,0.969
2018-06-07,0.9629
2018-06-08,0.9497
2018-06-11,0.9424
2018-06-12,0.9506
2018-06-13,0.939
2018-06-14,0.9349
2018-06-15,0.9197
2018-06-19,0.8617
2018-06-20,0.872
2018-06-21,0.8586
2018-06-22,0.8705
2018-06-25,0.8647
2018-06-26,0.8682
2018-06-27,0.8604
2018-06-28,0.8512
2018-06-29,0.8706
2018-06-30,0.8705
2018-07-02,0.8585
2018-07-03,0.8664
2018-07-04,0.8575
2018-07-05,0.8393
2018-07-06,0.8403
2018-07-09,0.854
2018-07-10,0.8579
2018-07-11,0.8412
2018-07-12,0.8627
2018-07-13,0.8651
2018-07-16,0.8637
2018-07-17,0.863
2018-07-18,0.8607
2018-07-19,0.8549
2018-07-20,0.8638
2018-07-23,0.8683
2018-07-24,0.8842
2018-07-25,0.8864
2018-07-26,0.888
2018-07-27,0.8839
2018-07-30,0.8745
2018-07-31,0.8761
2018-08-01,0.8632
2018-08-02,0.8454
2018-08-03,0.84
2018-08-06,0.8292
2018-08-07,0.849
2018-08-08,0.8411
2018-08-09,0.8562
2018-08-10,0.8595
2018-08-13,0.861
2018-08-14,0.8587
2018-08-15,0.8433
2018-08-16,0.8366
2018-08-17,0.8253
2018-08-20,0.8298
2018-08-21,0.8374
2018-08-22,0.8306
2018-08-23,0.834
2018-08-24,0.835
2018-08-27,0.8487
2018-08-28,0.849
2018-08-29,0.8446
2018-08-30,0.835
2018-08-31,0.828
2018-09-03,0.8337
2018-09-04,0.8397
2018-09-05,0.8322
2018-09-06,0.8302
2018-09-07,0.8319
2018-09-10,0.8223
2018-09-11,0.823
2018-09-12,0.8214
2018-09-13,0.8261
2018-09-14,0.82
2018-09-17,0.8125
2018-09-18,0.8248
2018-09-19,0.8314
2018-09-20,0.8305
2018-09-21,0.841
2018-09-25,0.8386
2018-09-26,0.8415
2018-09-27,0.8328
2018-09-28,0.8395
2018-10-08,0.8204
2018-10-09,0.8198
2018-10-10,0.8216
2018-10-11,0.7689
2018-10-12,0.7669
2018-10-15,0.7545
2018-10-16,0.7406
2018-10-17,0.7465
2018-10-18,0.7286
2018-10-19,0.745
2018-10-22,0.7777
2018-10-23,0.7676
2018-10-24,0.7686
2018-10-25,0.77
2018-10-26,0.7722
2018-10-29,0.7637
2018-10-30,0.7723
2018-10-31,0.7817
2018-11-01,0.7846
2018-11-02,0.8038
2018-11-05,0.8057
2018-11-06,0.8084
2018-11-07,0.8032
2018-11-08,0.8004
2018-11-09,0.798
2018-11-12,0.8161
2018-11-13,0.8318
2018-11-14,0.8312
2018-11-15,0.8431
2018-11-16,0.8504
2018-11-19,0.8501
2018-11-20,0.8286
2018-11-21,0.8332
2018-11-22,0.8338
2018-11-23,0.8035
2018-11-26,0.8049
2018-11-27,0.8073
2018-11-28,0.8173
2018-11-29,0.8026
2018-11-30,0.8047
2018-12-03,0.8264
2018-12-04,0.8291
2018-12-05,0.8224
2018-12-06,0.8089
2018-12-07,0.8109
2018-12-10,0.8043
2018-12-11,0.8111
2018-12-12,0.8101
2018-12-13,0.8179
2018-12-14,0.7989
2018-12-17,0.7989
2018-12-18,0.7968
2018-12-19,0.7878
2018-12-20,0.7893
2018-12-21,0.7864
2018-12-24,0.7929
2018-12-25,0.7852
2018-12-26,0.7881
2018-12-27,0.7807
2018-12-28,0.7843
2018-12-31,0.7842
2019-01-02,0.7787
2019-01-03,0.7776
2019-01-04,0.7934
2019-01-07,0.803
2019-01-08,0.8025
2019-01-09,0.8028
2019-01-10,0.8021
2019-01-11,0.8079
2019-01-14,0.8054
2019-01-15,0.8116
2019-01-16,0.8097
2019-01-17,0.805
2019-01-18,0.8102
2019-01-21,0.8131
2019-01-22,0.8036
2019-01-23,0.8057
2019-01-24,0.8081
2019-01-25,0.8038
2019-01-28,0.802
2019-01-29,0.7925
2019-01-30,0.7845
2019-01-31,0.7801
2019-02-01,0.7979
2019-02-11,0.8135
2019-02-12,0.8194
2019-02-13,0.8309
2019-02-14,0.8338
2019-02-15,0.8307
2019-02-18,0.8544
2019-02-19,0.8534
2019-02-20,0.8565
2019-02-21,0.8568
2019-02-22,0.8787
2019-02-25,0.9256
2019-02-26,0.9301
2019-02-27,0.9259
2019-02-28,0.9232
2019-03-01,0.9342
2019-03-04,0.9509
2019-03-05,0.9754
2019-03-06,0.9997
2019-03-07,1.0205
2019-03-08,0.9756
2019-03-11,1.0119
2019-03-12,1.028
2019-03-13,1.0075
2019-03-14,0.9794
2019-03-15,0.9881
2019-03-18,1.0096
2019-03-19,1.0148
2019-03-20,1.0163
2019-03-21,1.0301
2019-03-22,1.0346
2019-03-25,1.0211
2019-03-26,0.9981
2019-03-27,1.0054
2019-03-28,0.9908
2019-03-29,1.0194
2019-04-01,1.052
2019-04-02,1.057
2019-04-03,1.0662
2019-04-04,1.077
2019-04-08,1.0792
2019-04-09,1.0851
2019-04-10,1.0846
2019-04-11,1.0681
2019-04-12,1.0668
2019-04-15,1.0598
2019-04-16,1.0793
2019-04-17,1.0876
2019-04-18,1.0802
2019-04-19,1.0858
2019-04-22,1.0731
2019-04-23,1.0595
2019-04-24,1.0671
2019-04-25,1.0252
2019-04-26,1.0121
2019-04-29,0.9849
2019-04-30,0.9948
2019-05-06,0.9297
2019-05-07,0.9422
2019-05-08,0.9377
2019-05-09,0.9284
2019-05-10,0.9565
2019-05-13,0.9468
2019-05-14,0.9399
2019-05-15,0.9584
2019-05-16,0.9635
2019-05-17,0.9325
2019-05-20,0.9262
2019-05-21,0.9411
2019-05-22,0.9332
2019-05-23,0.9153
2019-05-24,0.9133
2019-05-27,0.9322
2019-05-28,0.9306
2019-05-29,0.9301
2019-05-30,0.9271
2019-05-31,0.925
2019-06-03,0.9149
2019-06-04,0.9071
2019-06-05,0.9063
2019-06-06,0.89
2019-06-10,0.8953
2019-06-11,0.9251
2019-06-12,0.9177
2019-06-13,0.922
2019-06-14,0.9056
2019-06-17,0.9073
2019-06-18,0.9068
2019-06-19,0.9182
2019-06-20,0.931
2019-06-21,0.942
2019-06-24,0.9435
2019-06-25,0.9347
