datetime,close,acc_close,div
2012-07-20,887.661,,0.0423
2012-07-23,876.88,,0.0429
2012-07-24,881.82,,0.043
2012-07-25,871.638,,0.0431
2012-07-26,866.864,,0.0432
2012-07-27,864.586,,0.0429
2012-07-30,857.073,,0.0431
2012-07-31,855.66,,0.0429
2012-08-01,863.706,,0.0426
2012-08-02,853.418,,0.0428
2012-08-03,862.379,,0.0424
2012-08-06,873.844,,0.0423
2012-08-07,874.631,,0.0425
2012-08-08,874.489,,0.0423
2012-08-09,882.229,,0.0423
2012-08-10,881.46,,0.0423
2012-08-13,862.223,,0.0426
2012-08-14,864.061,,0.0425
2012-08-15,856.126,,0.0429
2012-08-16,853.922,,0.0429
2012-08-17,853.906,,0.0428
2012-08-20,848.778,,0.0429
2012-08-21,853.554,,0.0429
2012-08-22,850.202,,0.0429
2012-08-23,852.194,,0.043
2012-08-24,842.4,,0.0433
2012-08-27,822.461,,0.0435
2012-08-28,826.868,,0.043
2012-08-29,818.079,,0.0433
2012-08-30,819.452,,0.043
2012-08-31,817.948,,0.0432
2012-09-03,824.567,,0.0433
2012-09-04,815.368,,0.0436
2012-09-05,813.953,,0.0439
2012-09-06,817.925,,0.0437
2012-09-07,849.573,,0.0424
2012-09-10,853.802,,0.0424
2012-09-11,849.031,,0.0427
2012-09-12,850.958,,0.0428
2012-09-13,844.109,,0.0429
2012-09-14,849.088,,0.0425
2012-09-17,826.46,,0.0432
2012-09-18,818.906,,0.0436
2012-09-19,823.454,,0.0436
2012-09-20,804.059,,0.0442
2012-09-21,803.748,,0.0441
2012-09-24,805.664,,0.0441
2012-09-25,805.005,,0.0441
2012-09-26,792.785,,0.0444
2012-09-27,815.677,,0.0433
2012-09-28,830.088,,0.0428
2012-10-08,823.067,,0.043
2012-10-09,839.676,,0.0423
2012-10-10,842.699,,0.0423
2012-10-11,833.851,,0.0424
2012-10-12,834.391,,0.0423
2012-10-15,834.365,,0.0422
2012-10-16,832.693,,0.0423
2012-10-17,833.475,,0.0421
2012-10-18,844.75,,0.0418
2012-10-19,841.651,,0.0419
2012-10-22,846.206,,0.0419
2012-10-23,840.49,,0.0421
