datetime,nav
2020-03-27,1
2020-04-03,1.0009
2020-04-10,1.002
2020-04-17,0.9952
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-06,
2020-05-07,1.0335
2020-05-08,1.0411
2020-05-11,1.0326
2020-05-12,1.0392
2020-05-13,1.0588
2020-05-14,1.0447
2020-05-15,1.0369
2020-05-18,1.0621
2020-05-19,1.0669
2020-05-20,1.0554
2020-05-21,1.0475
2020-05-22,1.0295
2020-05-25,1.0491
2020-05-26,1.0626
2020-05-27,1.0581
2020-05-28,1.0569
2020-05-29,1.0678
2020-06-01,1.0828
2020-06-02,1.0728
2020-06-03,1.0647
2020-06-04,1.0836
2020-06-05,1.0739
2020-06-08,1.0725
2020-06-09,1.0831
2020-06-10,1.0886
2020-06-11,1.0717
2020-06-12,1.0782
2020-06-15,1.0908
2020-06-16,1.1064
2020-06-17,1.11
2020-06-18,1.1025
2020-06-19,1.1176
2020-06-22,1.119
2020-06-23,1.138
2020-06-24,1.1321
2020-06-29,1.1457
2020-06-30,1.165
2020-07-01,1.1909
2020-07-02,1.2095
2020-07-03,1.2059
2020-07-06,1.2445
2020-07-07,1.2825
2020-07-08,1.3092
2020-07-09,1.3468
2020-07-10,1.341
2020-07-13,1.4047
2020-07-14,1.4203
2020-07-15,1.4161
2020-07-16,1.3498
2020-07-17,1.3583
2020-07-20,1.3857
2020-07-21,1.3984
2020-07-22,1.4236
2020-07-23,1.42
2020-07-24,1.3582
2020-07-27,1.3625
2020-07-28,1.3852
2020-07-29,1.4029
2020-07-30,1.4257
2020-07-31,1.4315
2020-08-03,1.4578
2020-08-04,1.4508
2020-08-05,1.4741
2020-08-06,1.4513
2020-08-07,1.4478
2020-08-10,1.4462
2020-08-11,1.4361
2020-08-12,1.4071
2020-08-13,1.4222
2020-08-14,1.4413
2020-08-17,1.4785
2020-08-18,1.4975
2020-08-19,1.5108
2020-08-20,1.4818
2020-08-21,1.5099
2020-08-24,1.5296
2020-08-25,1.526
2020-08-26,1.4986
2020-08-27,1.5096
2020-08-28,1.5561
2020-08-31,1.5589
2020-09-01,1.544
2020-09-02,1.5487
2020-09-03,1.5586
2020-09-04,1.5261
2020-09-07,1.4794
2020-09-08,1.4628
2020-09-09,1.4059
2020-09-10,1.4029
2020-09-11,1.4181
2020-09-14,1.422
2020-09-15,1.4536
2020-09-16,1.4407
2020-09-17,1.4224
2020-09-18,1.4492
2020-09-21,1.4388
2020-09-22,1.433
2020-09-23,1.4391
2020-09-24,1.412
2020-09-25,1.4103
2020-09-28,1.4003
2020-09-29,1.4064
2020-09-30,1.4005
2020-10-09,1.4346
2020-10-12,1.4765
2020-10-13,1.4804
2020-10-14,1.4726
2020-10-15,1.4671
2020-10-16,1.4569
2020-10-19,1.4354
2020-10-20,1.4612
2020-10-21,1.4544
2020-10-22,1.4566
2020-10-23,1.4238
2020-10-26,1.4177
2020-10-27,1.4287
2020-10-28,1.4464
2020-10-29,1.4693
2020-10-30,1.4321
2020-11-02,1.4394
2020-11-03,1.461
2020-11-04,1.4703
2020-11-05,1.4911
2020-11-06,1.4723
2020-11-09,1.4843
2020-11-10,1.4931
2020-11-11,1.497
2020-11-12,1.5197
2020-11-13,1.48
2020-11-16,1.508
2020-11-17,1.4989
2020-11-18,1.5052
2020-11-19,1.5143
2020-11-20,1.5409
2020-11-23,1.5462
2020-11-24,1.5388
2020-11-25,1.5028
2020-11-26,1.5056
2020-11-27,1.5038
2020-11-30,1.4886
2020-12-01,1.5018
2020-12-02,1.5023
2020-12-03,1.5092
2020-12-04,1.5523
2020-12-07,1.5532
2020-12-08,1.5717
2020-12-09,1.5442
2020-12-10,1.5494
2020-12-11,1.545
2020-12-14,1.5752
2020-12-15,1.565
2020-12-16,1.6009
2020-12-17,1.5965
2020-12-18,1.5804
2020-12-21,1.5955
2020-12-22,1.5883
2020-12-23,1.5874
2020-12-24,1.5402
2020-12-25,1.5249
2020-12-28,1.5469
2020-12-29,1.5219
2020-12-30,1.5383
2020-12-31,1.5548
2021-01-04,1.6101
2021-01-05,1.6678
2021-01-06,1.6524
2021-01-07,1.6311
2021-01-08,1.5987
2021-01-11,1.5613
2021-01-12,1.5856
2021-01-13,1.5634
2021-01-14,1.5293
2021-01-15,1.5156
2021-01-18,1.5262
2021-01-19,1.5267
2021-01-20,1.5276
2021-01-21,1.5517
2021-01-22,1.5484
2021-01-25,1.5719
2021-01-26,1.5408
2021-01-27,1.5367
2021-01-28,1.5116
2021-01-29,1.5059
2021-02-01,1.5133
2021-02-02,1.543
2021-02-03,1.5254
2021-02-04,1.5048
2021-02-05,1.4891
2021-02-08,1.492
2021-02-09,1.5201
2021-02-10,1.539
2021-02-18,1.5411
2021-02-19,1.5789
2021-02-22,1.5651
2021-02-23,1.5388
2021-02-24,1.5167
2021-02-25,1.5023
2021-02-26,1.4754
2021-03-01,1.4888
2021-03-02,1.4739
2021-03-03,1.4942
2021-03-04,1.4621
2021-03-05,1.4775
2021-03-08,1.4398
2021-03-09,1.3997
2021-03-10,1.399
2021-03-11,1.4213
2021-03-12,1.4152
2021-03-15,1.3968
2021-03-16,1.4181
2021-03-17,1.4247
2021-03-18,1.4327
2021-03-19,1.4193
2021-03-22,1.4377
2021-03-23,1.4454
2021-03-24,1.436
2021-03-25,1.4307
2021-03-26,1.4554
2021-03-29,1.4646
2021-03-30,1.466
2021-03-31,1.4571
2021-04-01,1.4658
2021-04-02,1.48
2021-04-06,1.473
2021-04-07,1.4555
2021-04-08,1.4653
2021-04-09,1.463
2021-04-12,1.4597
2021-04-13,1.4708
2021-04-14,1.4761
2021-04-15,1.4795
2021-04-16,1.5006
2021-04-19,1.5177
2021-04-20,1.5306
2021-04-21,1.5556
2021-04-22,1.5669
2021-04-23,1.5495
2021-04-26,1.5218
2021-04-27,1.5482
2021-04-28,1.5592
2021-04-29,1.5515
2021-04-30,1.5539
2021-05-06,1.5466
2021-05-07,1.5358
2021-05-10,1.5292
2021-05-11,1.5535
2021-05-12,1.5677
2021-05-13,1.5768
2021-05-14,1.5994
2021-05-17,1.6195
2021-05-18,1.6271
2021-05-19,1.6302
2021-05-20,1.6603
2021-05-21,1.6727
2021-05-24,1.69
2021-05-25,1.7032
2021-05-26,1.7164
2021-05-27,1.7206
2021-05-28,1.6998
2021-05-31,1.697
2021-06-01,1.7121
2021-06-02,1.6983
2021-06-03,1.7016
2021-06-04,1.7197
2021-06-07,1.7297
2021-06-08,1.6726
2021-06-09,1.6663
2021-06-10,1.6617
2021-06-11,1.639
2021-06-15,1.6363
2021-06-16,1.6283
2021-06-17,1.6526
2021-06-18,1.6658
2021-06-21,1.6684
2021-06-22,1.7058
2021-06-23,1.6905
2021-06-24,1.6871
2021-06-25,1.696
2021-06-28,1.7145
2021-06-29,1.6837
2021-06-30,1.6833
2021-07-01,1.6843
2021-07-02,1.6582
2021-07-05,1.6641
2021-07-06,1.6598
2021-07-07,1.659
2021-07-08,1.6357
2021-07-09,1.6207
2021-07-12,1.6337
2021-07-13,1.6638
2021-07-14,1.682
2021-07-15,1.6918
2021-07-16,1.6716
2021-07-19,1.6759
2021-07-20,1.6788
2021-07-21,1.6854
2021-07-22,1.6767
2021-07-23,1.6248
2021-07-26,1.5717
2021-07-27,1.5274
2021-07-28,1.5343
2021-07-29,1.5525
2021-07-30,1.5177
2021-08-02,1.5608
2021-08-03,1.5703
2021-08-04,1.5599
2021-08-05,1.5518
2021-08-06,1.5384
2021-08-09,1.5877
2021-08-10,1.6255
2021-08-11,1.6216
2021-08-12,1.6055
2021-08-13,1.62
2021-08-16,1.6368
2021-08-17,1.5992
2021-08-18,1.6054
2021-08-19,1.592
