datetime,nav
2009-09-30,0.997
2009-10-09,1.006
2009-10-16,1.016
2009-10-23,1.041
2009-10-30,1.027
2009-11-06,1.095
2009-11-10,1.103
2009-11-11,1.107
2009-11-12,1.11
2009-11-13,1.124
2009-11-16,1.148
2009-11-17,1.154
2009-11-18,1.158
2009-11-19,1.176
2009-11-20,1.184
2009-11-23,1.204
2009-11-24,1.144
2009-11-25,1.184
2009-11-26,1.139
2009-11-27,1.111
2009-11-30,1.158
2009-12-01,1.188
2009-12-02,1.204
2009-12-03,1.212
2009-12-04,1.183
2009-12-07,1.202
2009-12-08,1.199
2009-12-09,1.181
2009-12-10,1.19
2009-12-11,1.19
2009-12-14,1.185
2009-12-15,1.187
2009-12-16,1.183
2009-12-17,1.148
2009-12-18,1.107
2009-12-21,1.12
2009-12-22,1.09
2009-12-23,1.109
2009-12-24,1.143
2009-12-25,1.15
2009-12-28,1.168
2009-12-29,1.172
2009-12-30,1.167
2009-12-31,1.176
2010-01-04,1.183
2010-01-05,1.194
2010-01-06,1.193
2010-01-07,1.17
2010-01-08,1.184
2010-01-11,1.191
2010-01-12,1.215
2010-01-13,1.203
2010-01-14,1.233
2010-01-15,1.241
2010-01-18,1.261
2010-01-19,1.262
2010-01-20,1.217
2010-01-21,1.221
2010-01-22,1.189
2010-01-25,1.171
2010-01-26,1.129
2010-01-27,1.122
2010-01-28,1.139
2010-01-29,1.149
2010-02-01,1.138
2010-02-02,1.13
2010-02-03,1.146
2010-02-04,1.157
2010-02-05,1.133
2010-02-08,1.133
2010-02-09,1.133
2010-02-10,1.146
2010-02-11,1.144
2010-02-12,1.159
2010-02-22,1.159
2010-02-23,1.169
2010-02-24,1.193
2010-02-25,1.212
2010-02-26,1.213
2010-03-01,1.226
2010-03-02,1.227
2010-03-03,1.244
2010-03-04,1.201
2010-03-05,1.205
2010-03-08,1.218
2010-03-09,1.219
2010-03-10,1.204
2010-03-11,1.195
2010-03-12,1.177
2010-03-15,1.168
2010-03-16,1.177
2010-03-17,1.208
2010-03-18,1.211
2010-03-19,1.22
2010-03-22,1.226
2010-03-23,1.218
2010-03-24,1.224
2010-03-25,1.209
2010-03-26,1.225
2010-03-29,1.234
2010-03-31,1.242
2010-04-01,1.26
2010-04-02,1.264
2010-04-06,1.266
2010-04-07,1.269
2010-04-08,1.269
2010-04-09,1.287
2010-04-12,1.297
2010-04-13,1.283
2010-04-14,1.297
2010-04-15,1.281
2010-04-16,1.277
2010-04-19,1.225
2010-04-20,1.24
2010-04-21,1.275
2010-04-22,1.277
2010-04-23,1.268
2010-04-26,1.269
2010-04-27,1.237
2010-04-28,1.231
2010-04-29,1.193
2010-04-30,1.163
2010-05-04,1.162
2010-05-05,1.194
2010-05-06,1.158
2010-05-07,1.142
2010-05-10,1.123
2010-05-11,1.093
2010-05-12,1.069
2010-05-13,1.096
2010-05-14,1.103
2010-05-17,1.039
2010-05-18,1.052
2010-05-19,1.054
2010-05-20,1.035
2010-05-21,1.055
2010-05-24,1.098
2010-05-25,1.091
2010-05-26,1.094
2010-05-27,1.112
2010-05-28,1.116
2010-05-31,1.084
2010-06-01,1.065
2010-06-02,1.079
2010-06-03,1.072
2010-06-04,1.081
2010-06-07,1.077
2010-06-08,1.086
2010-06-09,1.11
2010-06-10,1.113
2010-06-11,1.107
2010-06-17,1.094
2010-06-18,1.053
2010-06-21,1.081
2010-06-22,1.089
2010-06-23,1.083
2010-06-24,1.083
2010-06-25,1.067
2010-06-28,1.051
2010-06-29,0.997
2010-06-30,0.979
2010-07-01,0.965
2010-07-02,0.9603
2010-07-05,0.9551
2010-07-06,0.9796
2010-07-07,0.9925
2010-07-08,0.9875
2010-07-09,1.0139
2010-07-12,1.024
2010-07-13,1.0093
2010-07-14,1.0178
2010-07-15,0.9965
2010-07-16,1.0019
2010-07-19,1.0223
2010-07-20,1.0486
2010-07-21,1.0505
2010-07-22,1.0645
2010-07-23,1.064
2010-07-26,1.0772
2010-07-27,1.0767
2010-07-28,1.0992
2010-07-29,1.1068
2010-07-30,1.1061
2010-08-02,1.1244
2010-08-03,1.1066
2010-08-04,1.1196
2010-08-05,1.1242
2010-08-06,1.1453
2010-08-09,1.159
2010-08-10,1.1191
2010-08-11,1.1313
2010-08-12,1.1179
2010-08-13,1.1374
2010-08-16,1.1612
2010-08-17,1.1695
2010-08-18,1.1693
2010-08-19,1.1704
2010-08-20,1.1476
2010-08-23,1.1566
2010-08-24,1.169
2010-08-25,1.1479
2010-08-26,1.1553
2010-08-27,1.1629
2010-08-30,1.1919
2010-08-31,1.2002
2010-09-01,1.1861
2010-09-02,1.2087
2010-09-03,1.2177
2010-09-06,1.215
2010-09-07,1.2216
2010-09-08,1.2312
2010-09-09,1.2164
2010-09-10,1.2276
2010-09-13,1.2476
2010-09-14,1.2513
2010-09-15,1.2333
2010-09-16,1.205
2010-09-17,1.2033
2010-09-20,1.1912
2010-09-21,1.1897
2010-09-27,1.2198
2010-09-28,1.2152
2010-09-29,1.2
2010-09-30,1.2166
2010-10-08,1.2421
2010-10-11,1.2472
2010-10-12,1.2511
2010-10-13,1.2584
2010-10-14,1.2206
2010-10-15,1.2234
2010-10-18,1.2102
2010-10-19,1.2441
2010-10-20,1.2478
2010-10-21,1.2571
2010-10-22,1.2676
2010-10-25,1.2962
2010-10-26,1.3075
2010-10-27,1.2953
2010-10-28,1.2964
2010-10-29,1.3097
2010-11-01,1.344
2010-11-02,1.3378
2010-11-03,1.3201
2010-11-04,1.3509
2010-11-05,1.3708
2010-11-08,1.3993
2010-11-09,1.4079
2010-11-10,1.4119
2010-11-11,1.4013
2010-11-12,1.3236
2010-11-15,1.3576
2010-11-16,1.3135
2010-11-17,1.2634
2010-11-18,1.2814
2010-11-19,1.3166
2010-11-22,1.3329
2010-11-23,1.3121
2010-11-24,1.3458
2010-11-25,1.3585
2010-11-26,1.3508
2010-11-29,1.3557
2010-11-30,1.3231
2010-12-01,1.3245
2010-12-02,1.3295
2010-12-03,1.3205
2010-12-06,1.3006
2010-12-07,1.3167
2010-12-08,1.3133
2010-12-09,1.2884
2010-12-10,1.3059
2010-12-13,1.3389
2010-12-14,1.3541
2010-12-15,1.351
2010-12-16,1.3476
2010-12-17,1.3503
2010-12-20,1.3349
2010-12-21,1.3489
2010-12-22,1.3374
2010-12-23,1.3125
2010-12-24,1.2941
2010-12-27,1.2603
2010-12-28,1.2322
2010-12-29,1.2516
2010-12-30,1.2553
2010-12-31,1.281
2011-01-04,1.297
2011-01-05,1.3011
2011-01-06,1.2945
2011-01-07,1.2884
2011-01-10,1.2541
2011-01-11,1.2482
2011-01-12,1.255
2011-01-13,1.2535
2011-01-14,1.2291
2011-01-17,1.1808
2011-01-18,1.1847
2011-01-19,1.2106
2011-01-20,1.1706
2011-01-21,1.1774
2011-01-24,1.1517
2011-01-25,1.1383
2011-01-26,1.158
2011-01-27,1.1765
2011-01-28,1.1872
2011-01-31,1.202
2011-02-01,1.2067
2011-02-09,1.2015
2011-02-10,1.231
2011-02-11,1.2435
2011-02-14,1.2638
2011-02-15,1.2631
2011-02-16,1.2827
2011-02-17,1.2909
2011-02-18,1.2799
2011-02-21,1.3039
2011-02-22,1.2724
2011-02-23,1.2887
2011-02-24,1.3002
2011-02-25,1.3014
2011-02-28,1.3161
2011-03-01,1.3231
2011-03-02,1.3198
2011-03-03,1.2962
2011-03-04,1.31
2011-03-07,1.3266
2011-03-08,1.3331
2011-03-09,1.3368
2011-03-10,1.3277
2011-03-11,1.3269
2011-03-14,1.3387
2011-03-15,1.3248
2011-03-16,1.3407
2011-03-17,1.3182
2011-03-18,1.3236
2011-03-21,1.3139
2011-03-22,1.3138
2011-03-23,1.3302
2011-03-24,1.3334
2011-03-25,1.3436
2011-03-28,1.3406
2011-03-29,1.3197
2011-03-30,1.3087
2011-03-31,1.2935
2011-04-01,1.3087
2011-04-06,1.3069
2011-04-07,1.3144
2011-04-08,1.3283
2011-04-11,1.3184
2011-04-12,1.3201
2011-04-13,1.3321
2011-04-14,1.3288
2011-04-15,1.3315
2011-04-18,1.3354
2011-04-19,1.3205
2011-04-20,1.3291
2011-04-21,1.3375
2011-04-22,1.3321
2011-04-25,1.3059
2011-04-26,1.2859
2011-04-27,1.2721
2011-04-28,1.2345
2011-04-29,1.2534
2011-05-03,1.2729
2011-05-04,1.2479
2011-05-05,1.2509
2011-05-06,1.2563
2011-05-09,1.2656
2011-05-10,1.2724
2011-05-11,1.275
2011-05-12,1.2596
2011-05-13,1.2688
2011-05-16,1.2684
2011-05-17,1.2621
2011-05-18,1.2698
2011-05-19,1.2636
2011-05-20,1.2597
2011-05-23,1.2162
2011-05-24,1.2146
2011-05-25,1.2019
