datetime,close,acc_close,pe,pe_pct,pe_pct80,pe_pct50,pe_pct20
2006-12-27,2450.96,2477.94,37.3949,,37.3949,37.3949,37.3949
2006-12-28,2416.36,2443.69,36.8082,0,37.3949,37.1015,36.8082
2006-12-29,2467.7,2495.75,37.5468,1,37.5468,37.3949,36.8082
2007-01-04,2449.77,2477.94,37.2337,0.3333,37.3949,37.3143,37.2337
2007-01-05,2530.35,2559.18,38.4458,1,37.5468,37.3949,37.2337
2007-01-08,2587.86,2617.34,39.276,1,38.4458,37.4709,37.2337
2007-01-09,2615.61,2645.41,39.7421,1,39.276,37.5468,37.2337
2007-01-10,2661.63,2691.96,40.3666,1,39.7421,37.9963,37.2337
2007-01-11,2679.71,2710.25,40.6327,1,39.7421,38.4458,37.3949
2007-01-12,2613.1,2642.92,39.6402,0.6667,39.7421,38.8609,37.3949
2007-01-15,2756.58,2788.16,41.7998,1,40.3666,39.276,37.3949
2007-01-16,2879.58,2912.62,43.5616,1,40.6327,39.4581,37.3949
2007-01-17,2868.18,2901.13,43.3371,0.9167,41.7998,39.6402,37.3949
2007-01-18,2982.41,3016.53,45.0087,1,41.7998,39.6912,37.5468
2007-01-19,3127.38,3163.43,47.1695,1,43.3371,39.7421,37.5468
2007-01-22,3298.21,3336.23,49.7008,1,43.5616,40.0543,37.5468
2007-01-23,3229.45,3265.78,48.7644,0.9375,45.0087,40.3666,37.5468
2007-01-24,3258.06,3295.22,49.1783,0.9412,47.1695,40.4997,37.5468
2007-01-25,3125.91,3161.82,47.2136,0.8333,47.1695,40.6327,38.4458
2007-01-26,3134.63,3170.8,47.3012,0.8421,47.2136,41.2163,38.4458
2007-01-29,3183.05,3219.13,48.4197,0.85,47.3012,41.7998,38.4458
2007-01-30,3230.92,3268.63,49.0915,0.9048,48.4197,42.5685,38.4458
2007-01-31,3079.81,3115.51,46.7421,0.6364,48.4197,43.3371,38.4458
2007-02-01,3131.19,3167.76,47.4464,0.7826,47.4464,43.4493,39.276
2007-02-02,3087.21,3123.3,46.6751,0.5833,47.4464,43.5616,39.276
