datetime,close,acc_close,pe,pe_pct,pe_pct80,pe_pct50,pe_pct20
2015-01-21,2459.1382,,17.5171,,17.5171,17.5171,17.5171
2015-01-22,2463.4093,,17.4763,0,17.5171,17.4967,17.4763
2015-01-23,2424.0689,,17.2599,0,17.5171,17.4763,17.2599
2015-01-26,2464.09,,17.5165,0.6667,17.5165,17.4964,17.4763
2015-01-27,2456.6871,,17.4129,0.25,17.5165,17.4763,17.4129
2015-01-28,2429.6242,,17.1799,0,17.5165,17.4446,17.2599
2015-01-29,2401.8625,,16.989,0,17.5165,17.4129,17.1799
2015-01-30,2416.1602,,17.0916,0.1429,17.5165,17.3364,17.0916
2015-02-02,2357.3569,,16.7556,0,17.4763,17.2599,17.0916
2015-02-03,2383.2948,,17.0216,0.2222,17.4763,17.2199,17.0216
2015-02-04,2390.8875,,17.0674,0.3,17.4763,17.1799,17.0216
2015-02-05,2370.161,,16.8923,0.0909,17.4763,17.1357,16.989
2015-02-06,2301.2049,,16.5633,0,17.4763,17.0916,16.8923
2015-02-09,2377.2502,,17.2293,0.6154,17.4129,17.1357,16.989
2015-02-10,2404.4973,,17.2985,0.7143,17.4129,17.1799,16.989
2015-02-11,2416.1567,,17.3368,0.7333,17.4129,17.2046,16.989
2015-02-12,2406.4388,,17.3339,0.6875,17.4129,17.2293,16.989
2015-02-13,2414.7126,,17.2983,0.5882,17.4129,17.2446,16.989
2015-02-16,2419.344,,17.3555,0.7778,17.3555,17.2599,17.0216
2015-02-17,2398.9932,,17.2288,0.4211,17.3555,17.2446,17.0216
2015-02-25,2361.7913,,17.0313,0.25,17.3555,17.2293,17.0216
2015-02-26,2408.9015,,17.3449,0.7619,17.3555,17.2446,17.0216
2015-02-27,2444.8175,,17.6541,1,17.4129,17.2599,17.0216
2015-03-02,2433.2799,,17.5535,0.9565,17.4129,17.2791,17.0313
2015-03-03,2388.38,,17.1909,0.375,17.4129,17.2599,17.0313
2015-03-04,2418.5477,,17.3501,0.72,17.4129,17.2791,17.0313
2015-03-05,2402.79,,17.2045,0.3846,17.4129,17.2599,17.0313
2015-03-06,2401.6107,,17.1373,0.2963,17.4129,17.2446,17.0313
2015-03-09,2433.3694,,17.5571,0.9643,17.4129,17.2599,17.0674
2015-03-10,2419.2974,,17.3597,0.7586,17.4129,17.2791,17.0674
2015-03-11,2443.2891,,17.5759,0.9667,17.4763,17.2983,17.0674
2015-03-12,2456.8903,,17.7098,1,17.5165,17.2984,17.0674
2015-03-13,2449.5701,,17.5831,0.9375,17.5171,17.2985,17.0674
